Trade_Num,Datetime,Timestamp,Block,Price,Lower,Upper,Holder_PNL,LP_PNL,IL,Fees,Fee-IL,AMM_PNL,Holder_PNL(%),LP_PNL(%),IL(%),Fees(%),Fee-IL(%),AMM_PNL(%)
1,2021-07-06 12:00:00,1625544000.0,12771593.0,2237.058259058318,1970.4620731282364,2475.040280638193,,,,,,,,,,,,
,2021-07-20 12:00:00,1626753600.0,12861142.0,1729.9189880555425,1970.4620731282364,2475.040280638193,-10088.07425055743,-19858.64592220915,9770.57167165172,2707.1376291841025,-7063.4340424676175,-17151.50829302505,-10.088074250557431,-19.85864592220915,9.770571671651721,2.7071376291841025,-7.063434042467617,-17.151508293025053
2,2021-07-20 12:00:01,1626753601.0,12861143.0,1729.9189880555425,1540.7670384064436,1889.4205032012758,,,,,,,,,,,,
,2021-07-24 12:00:00,1627099200.0,12886741.0,2142.051244506586,1540.7670384064436,1889.4205032012758,8566.784810889629,1621.1932817996421,6945.591529089987,547.587613807226,-6398.00391528276,2168.7808956068684,8.56678481088963,1.6211932817996422,6.945591529089986,0.547587613807226,-6.39800391528276,2.1687808956068686
3,2021-07-24 12:00:01,1627099201.0,12886742.0,2142.051244506586,2042.6873518015664,2359.050177190276,,,,,,,,,,,,
,2021-08-01 12:00:00,1627790400.0,12937387.0,2609.7489293866215,2042.6873518015664,2359.050177190276,12389.56181317191,2804.8855170950555,9584.676296076854,3090.147036516298,-6494.529259560555,5895.032553611354,12.389561813171909,2.8048855170950557,9.584676296076854,3.090147036516298,-6.494529259560555,5.895032553611355
4,2021-08-01 12:00:01,1627790401.0,12937388.0,2609.7489293866215,2445.5187567054563,2858.3641091442933,,,,,,,,,,,,
,2021-08-08 12:00:00,1628395200.0,12982001.0,3116.29610777103,2445.5187567054563,2858.3641091442933,10265.732032919666,2461.92941649798,7803.802616421686,3674.6023237328336,-4129.200292688853,6136.531740230814,10.265732032919665,2.46192941649798,7.803802616421686,3.6746023237328336,-4.129200292688853,6.136531740230813
5,2021-08-08 12:00:01,1628395201.0,12982002.0,3116.29610777103,2963.1345318528333,3463.362271579718,,,,,,,,,,,,
,2021-09-02 12:00:00,1630555200.0,13143945.0,3758.183719185208,2963.1345318528333,3463.362271579718,13471.544398722763,3545.8843060517393,9925.660092671023,11136.211225297506,1210.5511326264823,14682.095531349245,13.471544398722763,3.545884306051739,9.925660092671023,11.136211225297506,1.2105511326264824,14.682095531349246
6,2021-09-02 12:00:01,1630555201.0,13143946.0,3758.183719185208,3677.5136020677696,4196.413670962556,,,,,,,,,,,,
,2021-09-08 12:00:00,1631073600.0,13182793.0,3431.303907785919,3677.5136020677696,4196.413670962556,-8090.920239828323,-9531.816952044159,1440.8967122158356,2699.315668214588,1258.4189559987526,-6832.501283829571,-8.090920239828323,-9.531816952044158,1.4408967122158356,2.699315668214588,1.2584189559987526,-6.832501283829571
7,2021-09-08 12:00:01,1631073601.0,13182794.0,3431.303907785919,2910.2778898954334,3484.2038654067323,,,,,,,,,,,,
,2021-10-15 12:00:00,1634270400.0,13420349.0,3826.8227217849962,2910.2778898954334,3484.2038654067323,1063.1695205037831,70.82660570557346,992.3429147982097,15910.935183374915,14918.592268576705,15981.761789080489,1.0631695205037832,0.07082660570557346,0.9923429147982097,15.910935183374914,14.918592268576706,15.981761789080489
8,2021-10-15 12:00:01,1634270401.0,13420350.0,3826.8227217849962,3568.832002577697,4121.5576924280585,,,,,,,,,,,,
,2021-10-29 12:00:00,1635480000.0,13509851.0,4372.033456751849,3568.832002577697,4121.5576924280585,8869.362077236627,2352.876814003801,6516.485263232826,5735.264429312056,-781.22083392077,8088.141243315857,8.869362077236627,2.352876814003801,6.516485263232826,5.735264429312056,-0.7812208339207701,8.088141243315857
