Trade_Num,Datetime,Timestamp,Block,Price,Lower,Upper,Holder_PNL,LP_PNL,IL,Fees,Fee-IL,AMM_PNL,Holder_PNL(%),LP_PNL(%),IL(%),Fees(%),Fee-IL(%),AMM_PNL(%)
1,2021-07-08 12:00:00,1625716800.0,12784428.0,2261.8004956467385,1822.6144292054387,2708.113240484186,,,,,,,,,,,,
,2021-08-07 12:00:00,1628308800.0,12975580.0,2932.1859311518383,1822.6144292054387,2708.113240484186,13544.679471953132,4305.863955027075,9238.815516926057,6911.194853152434,-2327.620663773623,11217.058808179509,13.544679471953131,4.305863955027075,9.238815516926056,6.911194853152433,-2.327620663773623,11.217058808179509
2,2021-08-07 12:00:01,1628308801.0,12975581.0,2932.1859311518383,2581.2004231980604,3361.00948868934,,,,,,,,,,,,
,2021-09-02 12:00:00,1630555200.0,13143945.0,3758.183719185208,2581.2004231980604,3361.00948868934,16181.565265129771,4057.1207111036056,12124.444554026166,8467.657282032773,-3656.787271993393,12524.777993136378,16.181565265129773,4.057120711103606,12.124444554026166,8.467657282032773,-3.656787271993393,12.524777993136379
3,2021-09-02 12:00:01,1630555201.0,13143946.0,3758.183719185208,3547.484185426966,4402.7435152836,,,,,,,,,,,,
,2021-09-08 12:00:00,1631073600.0,13182793.0,3431.303907785919,3547.484185426966,4402.7435152836,-7834.945562294626,-9863.27616433789,2028.3306020432647,2047.9552634656948,19.62466142243011,-7815.320900872196,-7.834945562294626,-9.86327616433789,2.0283306020432645,2.0479552634656946,0.01962466142243011,-7.815320900872196
4,2021-09-08 12:00:01,1631073601.0,13182794.0,3431.303907785919,2757.298155927951,3677.5136020677696,,,,,,,,,,,,
,2021-10-21 12:00:00,1634788800.0,13458757.0,4177.9909316788835,2757.298155927951,3677.5136020677696,6241.916097434194,1011.266293132634,5230.64980430156,17736.651419911723,12506.001615610163,18747.917713044357,6.241916097434193,1.011266293132634,5.23064980430156,17.736651419911723,12.506001615610161,18.747917713044355
5,2021-10-21 12:00:01,1634788801.0,13458758.0,4177.9909316788835,3928.405319575355,4759.887212326988,,,,,,,,,,,,
,2021-12-30 12:00:00,1640836800.0,13904436.0,3653.6884704488857,3928.405319575355,4759.887212326988,-11415.234310537839,-15704.913044165689,4289.67873362785,25802.402812317814,21512.724078689964,10097.489768152125,-11.415234310537837,-15.70491304416569,4.28967873362785,25.802402812317816,21.512724078689963,10.097489768152125
6,2021-12-30 12:00:01,1640836801.0,13904437.0,3653.6884704488857,3016.951159318391,4171.311824848243,,,,,,,,,,,,
,2022-01-21 12:00:00,1642737600.0,14046657.0,2825.6828334172133,3016.951159318391,4171.311824848243,-13532.584504482511,-26198.831094161942,12666.246589679431,6794.203309739512,-5872.043279939919,-19404.62778442243,-13.53258450448251,-26.198831094161942,12.666246589679432,6.794203309739513,-5.872043279939919,-19.40462778442243
7,2022-01-21 12:00:01,1642737601.0,14046658.0,2825.6828334172133,2208.3869684596098,3165.289028707605,,,,,,,,,,,,
,2022-03-28 12:00:00,1648440000.0,14472383.0,3309.3180694907396,2208.3869684596098,3165.289028707605,6917.680155364127,2359.885160063044,4557.794995301083,27196.601916422853,22638.80692112177,29556.487076485897,6.917680155364127,2.3598851600630444,4.557794995301083,27.196601916422853,22.63880692112177,29.556487076485897
8,2022-03-28 12:00:01,1648440001.0,14472384.0,3309.3180694907396,3108.8263379038003,3812.309114428296,,,,,,,,,,,,
,2022-04-12 12:00:00,1649736000.0,14568423.0,2977.6887921766343,3108.8263379038003,3812.309114428296,-10703.7409897045,-14150.92122748238,3447.1802377778804,4599.419174172768,1152.2389363948878,-9551.502053309612,-10.7037409897045,-14.15092122748238,3.4471802377778804,4.599419174172768,1.152238936394888,-9.551502053309612
9,2022-04-12 12:00:01,1649736001.0,14568424.0,2977.6887921766343,2535.156753859849,3340.904811317418,,,,,,,,,,,,
,2022-05-10 12:00:00,1652155200.0,14746411.0,2304.491951495141,2535.156753859849,3340.904811317418,-13796.511548603594,-27397.441331940863,13600.92978333727,5856.5253594490205,-7744.404423888249,-21540.915972491843,-13.796511548603593,-27.39744133194086,13.60092978333727,5.856525359449021,-7.744404423888249,-21.54091597249184
10,2022-05-10 12:00:01,1652155201.0,14746412.0,2304.491951495141,1811.7120276514124,2724.4099463352854,,,,,,,,,,,,
,2022-06-11 12:00:00,1654920000.0,14941836.0,1669.9210411827833,1811.7120276514124,2724.4099463352854,-14139.066867717469,-27384.365282767598,13245.298415050129,9825.19524283153,-3420.103172218598,-17559.170039936067,-14.13906686771747,-27.384365282767597,13.24529841505013,9.825195242831532,-3.420103172218598,-17.559170039936067
11,2022-06-11 12:00:01,1654920001.0,14941837.0,1669.9210411827833,1433.7364935827545,1758.1704823883722,,,,,,,,,,,,
,2022-06-13 12:00:00,1655092800.0,14953934.0,1281.06222709047,1433.7364935827545,1758.1704823883722,-6364.941682242454,-19948.796215151524,13583.85453290907,1884.841995541317,-11699.012537367753,-18063.95421961021,-6.364941682242453,-19.948796215151525,13.58385453290907,1.884841995541317,-11.699012537367754,-18.06395421961021
12,2022-06-13 12:00:01,1655092801.0,14953935.0,1281.06222709047,1012.3773409446039,1616.5236839843517,,,,,,,,,,,,
,2022-06-24 16:00:01,1656057601.0,15016857.0,1139.5067043871172,1012.3773409446039,1616.5236839843517,-4845.956443626055,-6137.7137402295775,1291.7572966035223,9100.361202405744,7808.603905802222,2962.6474621761663,-4.845956443626055,-6.137713740229578,1.2917572966035222,9.100361202405743,7.808603905802221,2.962647462176166
